round,games,winrate,pval,n_steps,loss,value_loss,entropy,mean_value,grad_norm,diverged,ret_pos,onnx_decisions
0,84,0.34524,0.99772,5554,6.8262e+05,1.4878,0.33833,-0.85401,8.5956e+06,0,15,6108
1,84,0.21429,1,5608,69841,1.2977,0.51434,-0.10006,2.4816e+05,0,8,6491
2,84,0.27381,0.99998,5616,2.0056e+05,0.34729,0.20249,-0.96833,13.105,0,5,6662
3,84,0.22619,1,5529,3.6697e+05,1.0541,0.1442,0.11888,81.592,0,8,6541
4,84,0.2619,0.99999,5591,3.4768e+05,1.2403,0.40049,-0.92613,19.324,0,9,6656
5,84,0.2619,0.99999,5489,2.3055e+05,0.56659,0.42383,0.99822,0.57529,0,5,6416
6,84,0.17857,1,5584,1.2491e+06,0.86199,0.16157,-0.99961,134.62,0,6,6112
7,84,0.095238,1,5511,19704,0.33565,0.34187,0.66568,6.6343,0,4,5383
