round,games,winrate,pval,n_steps,loss,value_loss,entropy,mean_value,grad_norm,diverged,ret_pos,onnx_decisions
0,84,0.095238,1,5729,1.2656e+06,1.1038,0.31278,0.42177,142.81,0,9,6221
1,84,0.10714,1,5394,1.7336e+06,0.81547,0.1735,-0.99972,1.3737,0,5,5652
2,84,0.29762,0.9999,5378,9.7434e+05,0.57613,0.22042,-0.99974,8075.3,0,1,5769
3,84,0.083333,1,5179,2.7434e+05,1.8168,0.026106,0.9898,375.81,0,5,5749
4,84,0.4881,0.58637,5361,0.27069,0.53655,0.6716,0.87579,23.071,0,3,6411
5,84,0.61905,0.014548,5260,20448,1.3887,0.51673,-0.36661,33.651,0,14,6291
6,84,0.47619,0.66874,5369,1.6433e+05,1.6325,0.28996,-0.081698,1.4937e+08,0,13,5455
7,84,0.42857,0.90478,5463,1.5574e+05,0.24535,0.28059,0.8237,27.91,0,14,6323
